"1493383","24953","9",,"20"
"1058681","10496","7",,"6"
"1409330","20315","6",,"20"
"1127331","11944","7",,"14"
"2169375","30916","Anganwadi Class",,"15"
"1063331","10589","7",,"3"
"1905862","32641","9",,"37"
"938784","4226","10",,"14"
"1353832","18268","8",,"2"
"3416730","34680","7",,"1"
"3500296","34708","8",,"8"
"1069531","10713","7",,"1"
"1931466","32025","2",,"33"
"1065581","10634","7",,"7"
"1088230","11087","6",,"15"
"1298032","17152","8",,"2"
"1418283","20494","9",,"15"
"1878636","33208","7",,"35"
"1065683","10636","9",,"5"
"1773965","32293","6",,"52"
"1932064","32539","2",,"8"
"1935316","32821","4","B","16"
"3500347","17095","8",,"2"
"1773436","33243","6",,"7"
"1161532","12628","8",,"4"
"1627982","29489","8",,"9"
"827532","2001","8",,"1"
"1502884","25143","10",,"9"
"995581","5362","7",,"22"
"1958315","32487","4",,"14"
"3473877","35492","7",,"10"
"830984","2070","10",,"9"
"3478151","35910","3",,"3"
"3500032","34620","8",,"2"
"1181082","13019","8",,"1"
"1186631","13130","7",,"5"
"1060832","10539","8",,"1"
"1267134","14740","10",,"29"
"1748323","32958","3",,"6"
"2169394","33837","Anganwadi Class",,"33"
"1852328","33203","5",,"68"
"1683224","31907","10",,"15"
"1132682","12051","8",,"2"
"1266132","14720","8",,"5"
"1518080","25447","6",,"8"
"3493977","2462","10","A","1"
"1228780","13973","6",,"6"
"1556780","28065","6",,"8"
"3491120","2408","9",,"5"
"1352180","18235","6",,"4"
"1386440","19857","6","A","2"
"3420390","34924","7",,"5"
"1063731","10597","7",,"2"
"1681241","31613","6",,"2"
"1142730","12252","6",,"4"
"1619633","29322","9",,"8"
"1773759","33439","6",,"31"
"3494260","32139","10",,"16"
"3501396","29784","8",,"7"
"929080","4032","6",,"8"
"1237431","14146","7",,"5"
"1218431","13766","7",,"11"
"1382282","19774","8",,"3"
"1242934","14256","10",,"10"
"3479147","35943","5",,"5"
"1691759","31573","9",,"5"
"973330","4917","6",,"4"
"1883637","32274","9","C","34"
"1773562","33334","6",,"42"
"3488558","31935","9",,"2"
"1487230","24830","6",,"3"
"3488307","20304","9",,"4"
"1335781","17907","7",,"7"
"1469032","24466","8",,"5"
"1727870","32868","3","D","8"
"1583232","28594","8",,"24"
"1136780","12133","6",,"6"
"3485931","36351","Anganwadi Class",,"20"
"3489973","10300","9",,"2"
"3443807","35248","6",,"42"
"3492562","12873","9",,"1"
"1222081","13839","7",,"13"
"3490003","18024","9",,"5"
"1662883","30564","6",,"2"
"988081","5212","7",,"17"
"1330880","17809","6",,"1"
"1932175","32650","2",,"22"
"1554332","28016","8",,"1"
"1014432","6509","8",,"2"
"824780","1946","6",,"3"
"1263581","14669","7",,"10"
"1560330","28136","6",,"4"
"1112731","11652","7",,"1"
"1151034","12418","10",,"3"
"1958147","32319","4",,"40"
"1309581","17383","7",,"3"
"1407180","20272","6",,"5"
"3488327","3737","9",,"5"
"1407481","20278","7",,"15"
"1009131","6403","7",,"9"
"1107080","11539","6",,"4"
"3486655","36124","6",,"12"
"2169633","30923","Anganwadi Class",,"19"
"1577182","28473","8",,"9"
"1068130","10685","6",,"12"
"3493640","4107","10",,"2"
"1071432","10751","8",,"7"
"1773623","32035","6",,"29"
"3491415","25350","9",,"16"
"1007379","6368","5",,"1"
"1600980","28949","6",,"6"
"2169685","29684","Anganwadi Class",,"29"
"985880","5168","6",,"12"
"1379133","19711","9",,"7"
"1484731","24780","7",,"2"
"1428282","23651","8",,"8"
"1358832","18368","8",,"2"
"1382180","19772","6",,"7"
"1399930","20127","6",,"36"
"1577832","28486","8",,"3"
"3491232","14891","9",,"3"
"1230131","14000","7",,"2"
"1651422","29838","7",,"18"
"3492889","29736","9",,"2"
"1125684","11911","10",,"37"
"1230933","14016","9",,"5"
"1774385","32713","6",,"28"
"1233381","14065","7",,"42"
"1594630","28822","6",,"4"
"1496832","25022","8",,"9"
"1773492","31995","6",,"13"
"1826467","32171","8",,"27"
"1317882","17549","8",,"2"
"1332382","17839","8",,"3"
"1418432","20497","8",,"10"
"1011031","6441","7",,"3"
"3473720","35678","Anganwadi Class",,"43"
"1423430","23554","6",,"33"
"912683","3704","9",,"15"
"3473729","35687","Anganwadi Class",,"35"
"1269430","14786","6",,"7"
"1510633","25298","9",,"6"
"1028230","6785","6",,"11"
"1218881","13775","7",,"4"
"3489506","18417","9",,"1"
"3410760","34282","7",,"1"
"3492540","29021","9",,"3"
"865132","2753","8",,"9"
"1500281","25091","7",,"9"
"1164734","12692","10",,"4"
"3500930","14159","8",,"20"
"1958004","32176","4",,"11"
"1575583","28441","9",,"6"
"3500054","17788","8",,"3"
"1250430","14406","6",,"11"
"1570531","28340","7",,"8"
"2168970","31359","Anganwadi Class",,"27"
"1853538","32938","5",,"9"
"1853575","32975","5",,"29"
"3490344","11091","9",,"3"
"1347732","18146","8",,"2"
"1045282","7126","8",,"2"
"1306182","17315","8",,"5"
"1601931","28968","7",,"6"
"1089681","11116","7",,"2"
"3416535","34667","7",,"1"
"1048882","10300","8",,"2"
"3486001","36422","Anganwadi Class",,"16"
"1853439","32839","5",,"25"
"2169729","33706","Anganwadi Class",,"15"
"963130","4713","6",,"22"
"928630","4023","6",,"5"
"1216631","13730","7",,"17"
"1212083","13639","9",,"13"
"1019082","6602","8",,"3"
"3444149","35257","7",,"8"
"831482","2080","8",,"1"
"3484487","36121","5",,"7"
"3486364","36241","4",,"4"
"3489212","17680","9",,"3"
"963432","4719","8",,"10"
"1497430","25034","6",,"21"
"3490164","10658","9",,"2"
"2169518","33735","Anganwadi Class",,"8"
"2169312","33721","Anganwadi Class",,"23"
"3500724","10375","8",,"1"
"1389980","19928","6",,"5"
"1931473","32032","2",,"9"
