"4585","8"
"16963","14"
"29133","15"
"2782","32"
"3257","33"
"31597","12"
"31083","44"
"33390","144"
"1855","16"
"34865","4"
"11933","54"
"17751","22"
"31049","23"
"24056","113"
"32668","66"
"2745","72"
"33284","146"
"20033","30"
"27768","41"
"36108","6"
"25470","8"
"31757","34"
"11925","60"
"18370","12"
"6694","1"
"31459","23"
"35890","5"
"32827","42"
"13402","6"
"33700","25"
"4740","20"
"11329","33"
"18173","8"
"33991","22"
"19967","48"
"33029","116"
"28672","5"
"31512","21"
"36063","16"
"2210","21"
"17666","15"
"17670","42"
"31650","18"
"13699","60"
"10560","2"
"3681","20"
"31466","31"
"29329","14"
"5422","53"
"17599","8"
"35120","147"
"35096","6"
"12011","75"
"6445","43"
"3777","44"
"10967","3"
"34970","9"
"23863","9"
"34909","1"
"32942","177"
"18510","13"
"17867","44"
"32948","42"
"30090","31"
"5170","15"
"33992","31"
"25034","70"
"30677","32"
"31532","21"
"35424","117"
"27755","24"
"14497","41"
"33340","71"
"33525","20"
"34491","3"
"24899","20"
"13244","4"
"17283","3"
"24647","23"
"13639","89"
"6630","49"
"18009","15"
"25299","37"
"12992","13"
"5143","38"
"33627","78"
"10526","32"
"34943","12"
"12267","71"
"20242","11"
"35808","40"
"5229","17"
"24328","18"
"5237","26"
"29546","15"
"31025","23"
"3564","56"
"6789","65"
"14148","18"
"33262","183"
"13283","10"
"4145","15"
"33320","313"
"17534","14"
"17675","53"
"23529","89"
"34722","31"
"6664","6"
"33394","75"
"29245","36"
"25490","64"
"30851","8"
"34623","13"
"12720","39"
"14214","159"
"17007","35"
"28196","7"
"28328","55"
"20015","102"
"4752","63"
"12439","18"
"27797","37"
"18435","20"
"2817","45"
"15052","62"
"20513","24"
"34352","4"
"33598","17"
"36491","10"
"14036","29"
"17519","10"
"13095","11"
"10296","14"
"35322","222"
"33280","72"
"12752","15"
"30083","122"
"28731","23"
"14185","58"
"11920","42"
"18155","19"
"24681","55"
"4484","1"
"36211","42"
"36382","14"
"25124","151"
"32859","39"
"10907","5"
"20285","76"
"14541","50"
"34499","8"
"33785","15"
"24593","12"
"36048","31"
"20030","21"
"24897","25"
"36429","32"
"24875","53"
"34044","31"
"11517","50"
"27905","27"
"12244","21"
"25022","39"
"12842","33"
"11747","11"
"14724","21"
"30893","30"
"14150","39"
"31780","5"
"24434","25"
"2068","53"
"34737","6"
"19915","15"
"24723","23"
"36466","14"
"35376","78"
"30908","21"
"32254","484"
"6699","3"
"24941","25"
"33079","489"
"19994","16"
"24093","44"
"5568","39"
"6613","5"
"3620","228"
"34913","3"
"10543","15"
"2756","5"
"11891","11"
"5441","61"
"30068","14"
"13368","41"
"14177","114"
"4789","49"
"1838","32"
"13632","14"
"24568","23"
"17213","9"
"20374","36"
"31641","9"
"32056","218"
"34720","25"
"14490","23"
"28122","78"
"1954","10"
"2642","77"
"31609","4"
"3798","12"
"11551","10"
"3702","34"
"3538","117"
"17817","13"
"18468","34"
"20365","35"
"31071","24"
"25035","121"
"13921","120"
"14720","26"
"11244","1"
"32729","26"
"32753","111"
"18551","39"
"3087","53"
"23884","54"
"33424","60"
"36644","40"
"33484","44"
"31706","4"
"3982","22"
"31111","15"
"30813","74"
"18544","8"
"6586","30"
"29298","15"
"23651","25"
"28452","34"
"12399","11"
"24830","15"
"3722","16"
"36583","10"
"28358","73"
"20309","64"
"2758","9"
"35485","15"
"12817","23"
"19959","21"
"35290","35"
"24979","40"
"32326","85"
"32364","40"
"28021","13"
"31373","26"
"31742","45"
"14897","40"
"17368","15"
"3841","46"
"30767","26"
"31566","7"
"12255","26"
"33781","33"
"31725","12"
"30959","32"
"17728","6"
"13106","3"
"13183","15"
"13875","14"
"14261","99"
"3234","10"
"31847","11"
"11018","26"
"2314","59"
"3926","26"
"23993","46"
"24313","15"
"30581","30"
"31163","33"
"28133","72"
"32283","167"
"36230","39"
"3313","50"
"28818","12"
"32225","43"
"31275","20"
"1890","27"
"18641","78"
"35732","22"
"12119","97"
"17479","5"
"13702","91"
"6827","77"
"15054","27"
"32727","31"
"33008","43"
"10799","5"
"29439","9"
"34968","2"
"5243","18"
"33957","16"
"5395","90"
"18591","21"
"31044","16"
"34854","8"
"14895","110"
"29604","27"
"32769","258"
"34984","2"
"30754","8"
"20046","25"
"13787","37"
"33772","17"
"11930","4"
"33059","34"
"34077","13"
"20397","20"
"31072","29"
"25686","6"
"1919","23"
"11180","40"
"25009","41"
"31020","22"
"32785","40"
"11028","17"
"29643","9"
"19722","16"
"34884","6"
"28466","4"
"31576","14"
"33703","17"
"29697","25"
"3561","121"
"31173","11"
"5147","21"
"12218","28"
"12694","11"
"27902","31"
"31974","25"
"28380","45"
"34979","7"
"30769","38"
"23498","55"
"13741","46"
"27970","14"
"24849","77"
"12388","73"
"12644","37"
"35979","42"
"19630","14"
"28760","15"
"33984","13"
"17550","14"
"33544","15"
"11832","7"
